catid,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17,layer18,layer19,layer20,layer21,layer22,layer23,layer24,layer25,layer26,layer27,layer28,layer29,layer30,layer31,layer32,layer33,layer34,layer35,layer36,layer37,layer38,layer39,layer40
cat0110,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0111,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0112,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0113,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0114,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0115,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0116,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0117,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0118,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0119,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0120,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0121,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0122,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0123,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0124,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0125,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0126,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0127,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0128,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0129,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0130,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0131,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0132,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0133,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0134,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0135,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0136,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0137,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0138,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0139,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0140,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0141,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0142,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0143,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0144,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0145,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0146,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0147,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0148,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0149,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0150,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0151,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0152,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0153,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
